episode,game,exploration,explored,safe,MA_explored,MA_safe
699,[99]_forecast_horizon=[27],1.0,79.7,79.7,49.0,52.9
700,[0]_forecast_horizon=[10],1.0,50.6,60.4,49.6,53.0
701,[1]_forecast_horizon=[23],1.0,15.3,23.0,49.6,53.0
702,[2]_forecast_horizon=[23],1.0,54.2,45.8,50.4,53.0
703,[3]_forecast_horizon=[29],1.0,28.8,28.8,50.4,53.0
704,[4]_forecast_horizon=[25],1.0,-21.9,9.0,50.4,53.0
705,[5]_forecast_horizon=[26],1.0,8.6,22.1,50.4,53.0
706,[6]_forecast_horizon=[29],1.0,71.8,81.2,51.2,53.0
707,[7]_forecast_horizon=[10],1.0,59.1,59.1,51.2,53.3
708,[8]_forecast_horizon=[23],1.0,58.2,58.2,51.8,53.8
709,[9]_forecast_horizon=[15],1.0,0.6,13.5,51.8,53.8
710,[10]_forecast_horizon=[18],1.0,31.1,55.9,51.8,54.1
711,[11]_forecast_horizon=[13],1.0,69.0,82.7,51.8,54.1
712,[12]_forecast_horizon=[10],1.0,56.9,50.1,51.8,53.8
713,[13]_forecast_horizon=[22],1.0,77.4,71.5,51.8,53.8
714,[14]_forecast_horizon=[12],1.0,40.6,49.4,51.8,53.8
715,[15]_forecast_horizon=[27],1.0,50.4,50.4,51.8,53.3
716,[16]_forecast_horizon=[14],1.0,58.4,64.5,51.8,53.3
717,[17]_forecast_horizon=[18],1.0,45.1,62.2,51.2,53.3
718,[18]_forecast_horizon=[17],1.0,26.2,30.1,51.2,53.3
719,[19]_forecast_horizon=[18],1.0,41.6,41.6,51.2,53.3
720,[20]_forecast_horizon=[25],1.0,73.2,73.2,51.8,53.3
721,[21]_forecast_horizon=[18],1.0,41.6,46.7,51.8,53.3
722,[22]_forecast_horizon=[11],1.0,18.5,18.5,51.8,53.3
723,[23]_forecast_horizon=[15],1.0,66.2,66.2,51.8,53.3
724,[24]_forecast_horizon=[18],1.0,61.2,71.1,51.8,53.3
725,[25]_forecast_horizon=[12],1.0,34.6,37.3,51.8,53.3
726,[26]_forecast_horizon=[12],1.0,41.4,48.4,51.8,53.3
727,[27]_forecast_horizon=[25],1.0,70.4,70.6,51.8,53.3
728,[28]_forecast_horizon=[28],1.0,70.0,74.0,51.8,53.3
