episode,game,exploration,explored,safe,MA_explored,MA_safe
252,[52]_forecast_horizon=[20],7.9,16.6,35.3,22.0,56.7
253,[53]_forecast_horizon=[26],7.8,72.7,93.2,22.0,56.7
254,[54]_forecast_horizon=[22],7.7,53.8,85.5,22.0,56.7
255,[55]_forecast_horizon=[20],7.6,33.8,59.5,22.2,57.8
256,[56]_forecast_horizon=[15],7.6,50.6,82.2,22.2,57.8
257,[57]_forecast_horizon=[22],7.5,-24.6,15.7,22.2,57.8
258,[58]_forecast_horizon=[28],7.4,18.9,47.1,22.2,57.8
259,[59]_forecast_horizon=[21],7.3,32.0,36.4,22.7,57.8
260,[60]_forecast_horizon=[10],7.3,-93.3,24.9,22.7,57.8
261,[61]_forecast_horizon=[11],7.2,49.4,53.0,23.0,57.8
262,[62]_forecast_horizon=[18],7.1,-187.4,0.0,23.0,57.8
263,[63]_forecast_horizon=[24],7.0,20.3,55.3,23.0,56.7
264,[64]_forecast_horizon=[26],7.0,-333.9,-14.0,23.0,56.7
265,[65]_forecast_horizon=[13],6.9,68.6,76.2,23.5,56.7
266,[66]_forecast_horizon=[27],6.8,1.6,64.2,23.5,56.7
267,[67]_forecast_horizon=[12],6.8,19.8,67.7,23.5,57.8
268,[68]_forecast_horizon=[13],6.7,28.7,62.9,24.5,58.2
269,[69]_forecast_horizon=[12],6.6,36.3,59.1,25.2,58.7
270,[70]_forecast_horizon=[29],6.6,-0.3,11.6,25.2,58.7
271,[71]_forecast_horizon=[17],6.5,65.7,72.5,25.3,58.7
272,[72]_forecast_horizon=[27],6.4,19.4,89.4,24.6,58.7
273,[73]_forecast_horizon=[12],6.4,64.5,72.1,24.6,59.3
274,[74]_forecast_horizon=[23],6.3,14.1,53.0,24.6,59.3
275,[75]_forecast_horizon=[26],6.2,73.0,65.1,25.3,59.3
276,[76]_forecast_horizon=[29],6.2,17.7,-25.8,25.3,59.3
277,[77]_forecast_horizon=[18],6.1,-29.5,-3.7,25.3,59.3
278,[78]_forecast_horizon=[21],6.1,37.6,78.2,25.3,59.3
279,[79]_forecast_horizon=[10],6.0,42.7,18.7,25.3,59.3
280,[80]_forecast_horizon=[11],5.9,53.2,84.9,26.9,59.7
281,[81]_forecast_horizon=[14],5.9,52.7,62.3,28.6,60.6
282,[82]_forecast_horizon=[26],5.8,38.8,43.8,28.8,60.6
283,[83]_forecast_horizon=[18],5.8,52.9,46.7,30.1,60.6
284,[84]_forecast_horizon=[29],5.7,49.6,53.4,31.4,60.6
285,[85]_forecast_horizon=[11],5.6,48.3,56.0,31.4,60.6
286,[86]_forecast_horizon=[25],5.6,-26.5,51.4,31.4,59.7
287,[87]_forecast_horizon=[23],5.5,76.9,82.7,31.7,59.7
288,[88]_forecast_horizon=[19],5.5,13.3,7.7,31.7,59.7
289,[89]_forecast_horizon=[25],5.4,26.5,65.2,31.4,59.7
290,[90]_forecast_horizon=[25],5.4,31.9,32.9,31.7,59.7
291,[91]_forecast_horizon=[14],5.3,5.4,25.1,31.7,59.7
292,[92]_forecast_horizon=[20],5.3,59.4,60.0,31.9,59.7
293,[93]_forecast_horizon=[15],5.2,69.3,87.8,31.9,59.9
294,[94]_forecast_horizon=[13],5.2,52.0,59.0,31.9,59.9
295,[95]_forecast_horizon=[27],5.1,81.0,65.8,32.0,59.9
296,[96]_forecast_horizon=[29],5.1,59.2,54.5,32.0,59.9
297,[97]_forecast_horizon=[15],5.0,29.9,62.7,32.0,60.7
298,[98]_forecast_horizon=[13],5.0,39.4,47.9,32.0,60.7
299,[99]_forecast_horizon=[27],4.9,79.7,79.7,32.9,60.7
300,[0]_forecast_horizon=[10],4.9,30.8,45.3,32.9,59.9
301,[1]_forecast_horizon=[23],4.8,12.2,23.0,32.9,59.9
302,[2]_forecast_horizon=[23],4.8,58.8,55.3,34.7,59.7
303,[3]_forecast_horizon=[29],4.7,67.9,78.4,35.9,59.9
304,[4]_forecast_horizon=[25],4.7,-7.0,10.9,35.9,59.9
305,[5]_forecast_horizon=[26],4.6,45.8,72.9,36.8,60.7
306,[6]_forecast_horizon=[29],4.6,10.1,87.6,36.8,61.7
307,[7]_forecast_horizon=[10],4.5,59.8,70.7,37.4,62.2
308,[8]_forecast_horizon=[23],4.5,66.9,75.2,37.5,62.5
309,[9]_forecast_horizon=[15],4.4,39.7,14.3,38.2,62.5
310,[10]_forecast_horizon=[18],4.4,18.9,36.8,38.2,62.5
311,[11]_forecast_horizon=[13],4.3,73.5,87.9,38.2,62.5
312,[12]_forecast_horizon=[10],4.3,46.6,72.6,39.0,62.8
313,[13]_forecast_horizon=[22],4.3,51.8,77.2,39.0,63.4
314,[14]_forecast_horizon=[12],4.2,46.5,68.5,39.0,63.4
315,[15]_forecast_horizon=[27],4.2,78.3,50.7,39.3,63.4
316,[16]_forecast_horizon=[14],4.1,87.9,87.9,39.3,63.4
317,[17]_forecast_horizon=[18],4.1,65.1,69.6,39.5,63.4
318,[18]_forecast_horizon=[17],4.1,50.9,44.5,41.2,63.4
319,[19]_forecast_horizon=[18],4.0,50.3,85.6,41.2,63.4
320,[20]_forecast_horizon=[25],4.0,73.2,73.2,41.2,63.8
321,[21]_forecast_horizon=[18],3.9,41.0,41.0,41.8,63.4
322,[22]_forecast_horizon=[11],3.9,13.7,22.4,41.8,63.4
323,[23]_forecast_horizon=[15],3.9,83.8,88.3,44.3,63.4
324,[24]_forecast_horizon=[18],3.8,70.5,73.9,44.3,63.4
325,[25]_forecast_horizon=[12],3.8,51.1,67.8,44.3,63.4
326,[26]_forecast_horizon=[12],3.7,59.1,41.4,46.2,62.8
327,[27]_forecast_horizon=[25],3.7,57.3,70.4,46.2,62.8
328,[28]_forecast_horizon=[28],3.7,40.7,48.8,46.2,62.5
329,[29]_forecast_horizon=[23],3.6,-145.7,0.0,46.2,62.5
330,[30]_forecast_horizon=[28],3.6,-40.2,20.4,46.2,62.5
331,[31]_forecast_horizon=[14],3.6,68.3,75.3,46.6,62.5
332,[32]_forecast_horizon=[15],3.5,76.2,76.2,46.9,62.5
333,[33]_forecast_horizon=[10],3.5,69.6,72.5,46.9,62.5
334,[34]_forecast_horizon=[18],3.4,62.6,60.2,46.9,62.2
335,[35]_forecast_horizon=[22],3.4,63.5,79.7,46.9,62.2
336,[36]_forecast_horizon=[14],3.4,49.0,57.8,47.7,62.2
337,[37]_forecast_horizon=[19],3.3,79.6,83.7,47.7,62.2
338,[38]_forecast_horizon=[27],3.3,-17.2,69.1,47.7,62.2
339,[39]_forecast_horizon=[24],3.3,66.5,75.8,48.6,62.5
340,[40]_forecast_horizon=[15],3.2,42.5,42.5,48.6,62.2
341,[41]_forecast_horizon=[19],3.2,47.9,49.3,48.6,61.2
342,[42]_forecast_horizon=[11],3.2,72.1,71.1,48.6,61.2
343,[43]_forecast_horizon=[15],3.2,64.4,71.7,49.2,62.2
344,[44]_forecast_horizon=[19],3.1,53.5,67.1,49.2,62.5
