episode,game,exploration,explored,safe,MA_explored,MA_safe
200,[0]_forecast_horizon=[10],13.3,-3.7,40.3,-29.0,0.0
201,[1]_forecast_horizon=[23],13.1,-38.4,0.0,-29.0,0.0
202,[2]_forecast_horizon=[23],13.0,-4.8,46.8,-29.0,0.0
203,[3]_forecast_horizon=[29],12.9,-24.1,4.7,-27.1,0.0
204,[4]_forecast_horizon=[25],12.7,-51.4,1.0,-27.1,0.0
205,[5]_forecast_horizon=[26],12.6,-167.8,-13.5,-27.1,0.0
206,[6]_forecast_horizon=[29],12.5,-13.6,81.2,-26.6,0.0
207,[7]_forecast_horizon=[10],12.4,-14.9,18.0,-25.5,0.0
208,[8]_forecast_horizon=[23],12.2,-101.1,15.5,-25.5,0.0
209,[9]_forecast_horizon=[15],12.1,-183.6,32.1,-25.5,0.0
210,[10]_forecast_horizon=[18],12.0,7.3,20.4,-24.3,0.0
211,[11]_forecast_horizon=[13],11.9,78.9,87.9,-24.3,0.0
212,[12]_forecast_horizon=[10],11.8,-3.3,37.4,-23.4,0.0
213,[13]_forecast_horizon=[22],11.6,63.6,72.5,-23.4,0.5
214,[14]_forecast_horizon=[12],11.5,3.1,48.8,-23.4,2.0
215,[15]_forecast_horizon=[27],11.4,44.7,67.8,-23.4,3.9
216,[16]_forecast_horizon=[14],11.3,40.6,61.8,-23.4,6.3
217,[17]_forecast_horizon=[18],11.2,38.9,46.2,-23.4,8.7
218,[18]_forecast_horizon=[17],11.1,1.6,20.7,-19.5,11.7
219,[19]_forecast_horizon=[18],11.0,45.1,44.5,-19.5,14.7
220,[20]_forecast_horizon=[25],10.8,20.2,42.7,-15.6,15.8
221,[21]_forecast_horizon=[18],10.7,-9.9,35.7,-15.6,17.1
222,[22]_forecast_horizon=[11],10.6,-11.4,4.3,-14.3,17.1
223,[23]_forecast_horizon=[15],10.5,54.9,76.1,-14.3,19.2
224,[24]_forecast_horizon=[18],10.4,1.0,60.2,-13.5,20.4
225,[25]_forecast_horizon=[12],10.3,59.8,67.7,-13.5,20.5
226,[26]_forecast_horizon=[12],10.2,-31.8,27.9,-13.5,22.8
227,[27]_forecast_horizon=[25],10.1,59.4,60.2,-13.2,24.9
228,[28]_forecast_horizon=[28],10.0,36.6,48.8,-13.2,25.9
229,[29]_forecast_horizon=[23],9.9,-150.3,-13.9,-13.2,25.9
230,[30]_forecast_horizon=[28],9.8,-125.6,-24.5,-13.2,25.9
231,[31]_forecast_horizon=[14],9.7,17.0,26.3,-12.3,26.5
232,[32]_forecast_horizon=[15],9.6,18.4,29.6,-10.7,26.7
233,[33]_forecast_horizon=[10],9.5,37.6,32.7,-10.7,27.3
234,[34]_forecast_horizon=[18],9.4,12.5,56.8,-9.7,28.4
235,[35]_forecast_horizon=[22],9.3,53.0,44.9,-8.2,28.9
236,[36]_forecast_horizon=[14],9.2,11.8,39.0,-5.8,29.3
